,Close,High,Low,Open,Volume
2001-01-02,11.261877059936523,11.495889741100958,11.232624604774031,11.261877059936523,5243919
2001-01-03,11.013239860534668,11.598272151400032,10.983988395137184,11.320381738666093,11035398
2001-01-04,10.004060745239258,10.881609846198367,9.887053867009572,10.676848555025478,31524108
2001-01-05,10.0625581741333,10.238067898166966,9.901673680424603,10.106435853717935,16300258
2001-01-08,9.960177421569824,10.17956382729143,9.85779683375178,9.945551197179451,10008891
2001-01-09,10.179560661315918,10.355071322194874,10.004051989046049,10.018677214582933,8979488
2001-01-10,10.00387191772461,10.429881199027621,9.974492139473847,10.268290920648251,7410099
2001-01-11,9.88635540008545,10.238914864595671,9.87166500628621,10.06263513234056,11252373
2001-01-12,10.238916397094727,10.312366379750168,9.915736673144245,9.974497258468979,8935826
2001-01-16,10.576778411865234,10.75305703675201,10.224218166092074,10.224218166092074,11165717
2001-01-17,10.400505065917969,10.620854978026507,10.23891473090485,10.576784795871372,9598555
2001-01-18,10.591476440429688,10.78244660455237,10.4445764678226,10.576787042369387,8587196
2001-01-19,10.356436729431152,10.576786680809272,10.341746333205686,10.459266507007479,7406312
2001-01-22,10.385812759399414,10.562092456884738,10.31236280222495,10.518022282846669,5924470
2001-01-23,10.341744422912598,10.473953969851229,10.209534875973965,10.444574181494547,8053448
2001-01-24,10.1654634475708,10.253603800499814,10.0773240933088,10.150774054527306,12685651
2001-01-25,10.72368049621582,10.811819827001116,10.327050012348383,10.371120177074404,10707709
2001-01-26,10.855894088745117,11.017484435701046,10.753064321894621,10.782445111280945,7637098
2001-01-29,10.682548522949219,11.093867401666337,10.670796212585843,11.03510684851621,4866330
2001-01-30,10.58853816986084,10.79772302401375,10.47336885706496,10.776570251242234,6004889
2001-01-31,10.54387092590332,10.623784211302237,10.210114617394336,10.565024677606893,6800610
2001-02-01,10.811827659606934,10.811827659606934,10.487472450325088,10.55328363773492,4897740
2001-02-02,10.696660041809082,10.870588994347523,10.6449510294324,10.811829388526146,4615941
2001-02-05,10.889384269714355,10.936391517618613,10.64494258594487,10.64494258594487,5031623
2001-02-06,11.08681869506836,11.176133472713811,10.863530752287808,10.889385240272949,8109808
2001-02-07,11.178485870361328,11.218442543033598,11.049214399794234,11.08682120866251,6346835
2001-02-08,11.350066184997559,11.563951751850297,11.166735841790533,11.166735841790533,8079957
2001-02-09,11.375920295715332,11.495790323487423,11.237246362645228,11.49344045949219,7686775
2001-02-12,11.6344633102417,11.6344633102417,11.446431263226192,11.493439524646856,9060129
2001-02-13,11.201991081237793,11.434680560001912,11.15968453879623,11.411176925312155,10283116
2001-02-14,11.143226623535156,11.279549642472038,11.11032154935508,11.260746742940565,4029175
2001-02-15,11.27015209197998,11.27015209197998,10.903490430923537,11.199640195674233,6862762
2001-02-16,11.399421691894531,11.399421691894531,11.107972701644634,11.352414434542634,7297602
2001-02-20,11.439375877380371,11.439375877380371,11.305403725001826,11.352411970818931,5967242
2001-02-21,11.751983642578125,11.751983642578125,11.458184725614066,11.48168835934436,7921125
2001-02-22,11.740230560302734,11.881253340153782,11.486387359503233,11.65796635661145,8756276
2001-02-23,11.493439674377441,11.634463461809469,11.251348772707981,11.634463461809469,5854076
2001-02-26,11.563945770263672,11.587450390859114,11.411170729727045,11.575698080561393,4980610
2001-02-27,11.427626609802246,11.625060079162939,11.28190112155957,11.563948649598562,7796376
2001-02-28,11.514593124389648,11.72377895407165,11.387672507130032,11.47933717544704,7877240
2001-03-01,11.712028503417969,11.749635320990585,11.399425639764992,11.49344218436284,5607920
2001-03-02,11.676767349243164,11.728476325879443,11.437027364475398,11.693220387021423,6294485
